ticket_id,created_date,sku,product_name,tier,issue_type,issue_summary,channel,priority,first_response_hrs,resolution_hrs,resolution_type,csat_score,agent_id,escalated,repeat_contact,order_age_days,region,sentiment_score
TKT-0089,2026-02-13,EP-500,ErgoPro 500,Mid,return_request,Customer wants to return ErgoPro 500 — does not fit workspace,email,medium,12.4,67.7,knowledge_base_link,3,AGT-014,No,No,103,Midwest,-0.457
TKT-0090,2026-02-23,EP-900,ErgoPro 900,Premium,product_defect,Seat cushion sinking on ErgoPro 900 within 30 days of purchase,email,medium,2.5,44.5,knowledge_base_link,3,AGT-006,No,No,44,Southwest,-0.795
TKT-0091,2025-11-08,EP-200,ErgoPro 200,Entry,warranty_claim,Mesh backrest tearing on ErgoPro 200 after 8 months,email,urgent,20.0,77.4,refund_processed,1,AGT-002,No,Yes,62,Midwest,-0.377
TKT-0092,2025-10-30,EP-500,ErgoPro 500,Mid,missing_part,ErgoPro 500 arrived missing armrest bolts (qty 4),phone,medium,19.6,83.7,callback_scheduled,3,AGT-001,Yes,Yes,17,Southwest,0.376
TKT-0093,2025-12-13,EP-500,ErgoPro 500,Mid,missing_part,ErgoPro 500 arrived missing armrest bolts (qty 4),email,low,5.2,75.8,resolved_first_contact,4,AGT-013,No,Yes,26,West,-0.934
TKT-0094,2026-03-20,EP-900,ErgoPro 900,Premium,assembly_question,Customer needs help assembling ErgoPro 900 — gas lift installation unclear,email,high,11.4,76.9,callback_scheduled,1,AGT-013,Yes,Yes,118,Northeast,-0.589
TKT-0095,2026-02-22,EP-200,ErgoPro 200,Entry,missing_part,ErgoPro 200 arrived missing armrest bolts (qty 4),phone,high,16.2,18.8,replacement_sent,2,AGT-014,No,No,73,West,-0.802
TKT-0096,2026-01-18,EP-900,ErgoPro 900,Premium,assembly_question,Customer needs help assembling ErgoPro 900 — gas lift installation unclear,chat,low,12.8,64.5,callback_scheduled,1,AGT-015,No,No,109,Southeast,-0.267
TKT-0097,2026-02-13,EP-900,ErgoPro 900,Premium,missing_part,ErgoPro 900 arrived missing armrest bolts (qty 4),phone,urgent,10.7,79.7,refund_processed,2,AGT-009,No,No,15,Midwest,-0.753
TKT-0098,2026-01-17,EP-200,ErgoPro 200,Entry,missing_part,ErgoPro 200 arrived missing armrest bolts (qty 4),email,low,12.0,38.3,replacement_sent,4,AGT-002,No,No,59,Northeast,0.472
TKT-0099,2025-12-12,EP-900,ErgoPro 900,Premium,adjustment_help,Lumbar support position unclear on ErgoPro 900,chat,low,5.6,35.2,refund_processed,3,AGT-003,Yes,No,63,West,-0.207
TKT-0100,2025-10-05,EP-900,ErgoPro 900,Premium,return_request,Customer wants to return ErgoPro 900 — does not fit workspace,email,medium,3.0,31.7,resolved_first_contact,3,AGT-004,No,Yes,77,Southeast,-0.754
