attribution_id,session_id,user_id,visit_timestamp,channel,utm_source,utm_medium,utm_campaign,utm_content,utm_term,landing_page,sku_viewed,device_type,region,sessions,pageviews,bounce,converted,revenue_usd,cost_usd,roas,cpc_usd,ctr_pct,impression_share_pct,attribution_model
ATT-00055,3ce04ee4ae3f40,U238601,2025-11-12 10:42:02,organic_search,bing,organic,(none),story_ad,ergo chair,/blog/how-to-set-up-your-home-office,ErgoPro 900,desktop,Southwest,1,6,No,No,0,0,0,0,3.88,74.7,last_click
ATT-00056,f8f6a6dc2b8943,U628020,2025-10-30 10:14:08,paid_search,google_ads,cpc,ergo_chair_generic,reel,ergo chair,/compare,ErgoPro 900,mobile,Southwest,1,8,No,No,0,6.35,0,1.27,6.36,16.0,first_click
ATT-00057,0b3cc90cce5645,U371738,2025-11-28 11:53:34,paid_search,bing_ads,cpc,ergo_chair_generic,,lumbar support chair,/blog/how-to-set-up-your-home-office,ErgoPro 900,mobile,Northeast,1,3,No,No,0,8.41,0,1.68,5.7,56.0,time_decay
ATT-00058,b965f757c72d4a,U722880,2025-11-03 01:28:33,paid_search,google_ads,cpc,competitor_conquest,text_ad,,/compare,ErgoPro 500,desktop,Southeast,1,7,Yes,No,0,5.75,0,1.92,5.57,47.8,last_click
ATT-00059,beb83e65879044,U193491,2025-12-19 06:41:24,organic_search,google,organic,(none),carousel_ad,ergonomic chair,/,ErgoPro 500,desktop,West,1,5,Yes,No,0,0,0,0,3.23,40.0,first_click
ATT-00060,c4169c8cad6746,U248316,2026-02-01 15:54:55,paid_search,bing_ads,cpc,ergo_chair_generic,hero_banner,ergonomic chair,/products,ErgoPro 200,mobile,Southeast,1,7,Yes,No,0,0.63,0,0.13,1.27,29.2,first_click
ATT-00061,6c3b8b4c071141,U996843,2026-01-30 10:04:07,email,mailchimp,email,weekly_newsletter,,best chair,/products/ergo-pro-500,ErgoPro 900,mobile,Southwest,1,3,No,No,0,0.37,0,0,6.21,66.3,data_driven
ATT-00062,f908d081e1d940,U975676,2026-01-09 07:23:38,paid_search,bing_ads,cpc,ergo_chair_generic,text_ad,ergonomic chair,/compare,ErgoPro 900,desktop,Southeast,1,5,No,No,0,7.4,0,7.4,3.99,27.3,data_driven
ATT-00063,aa48c31c8a7646,U733129,2026-01-11 08:29:17,organic_search,bing,organic,(none),text_ad,,/products,ErgoPro 900,mobile,West,1,7,No,No,0,0,0,0,1.88,79.9,first_click
ATT-00064,1ad4c73cb5424d,U506963,2026-02-03 14:09:16,social,instagram,social,influencer_collab,reel,lumbar support chair,/blog/how-to-set-up-your-home-office,ErgoPro 200,mobile,Midwest,1,2,Yes,No,0,0.91,0,0,6.24,16.0,linear
ATT-00065,d0549eb5bed64b,U839223,2025-12-10 02:41:29,direct,(direct),(none),(none),story_ad,,/blog,ErgoPro 500,mobile,Southwest,1,4,No,No,0,0,0,0,5.87,71.9,data_driven
ATT-00066,5158644301c047,U762549,2025-12-14 11:27:34,social,instagram,social,launch_reel,carousel_ad,ergo chair,/compare,ErgoPro 500,mobile,West,1,2,No,No,0,0.94,0,0,2.59,34.5,linear
ATT-00067,4911861562ec42,U709511,2025-12-09 20:03:50,organic_search,google,organic,(none),story_ad,best chair,/products/ergo-pro-200,ErgoPro 200,mobile,Midwest,1,4,No,No,0,0,0,0,5.95,47.1,first_click
ATT-00068,e86c862d608e4a,U756807,2025-11-19 01:12:34,organic_search,google,organic,(none),story_ad,ergonomic chair,/blog,ErgoPro 500,tablet,Southeast,1,8,No,No,0,0,0,0,1.78,50.1,first_click
ATT-00069,a3c1c523fa0747,U329597,2025-10-12 05:03:28,social,linkedin,social,product_demo,reel,,/,ErgoPro 200,desktop,West,1,3,Yes,No,0,0.16,0,0,6.14,36.0,time_decay
ATT-00070,913001f781064e,U312286,2025-11-26 22:52:21,referral,wirecutter.com,referral,(none),story_ad,,/products/ergo-pro-500,ErgoPro 200,mobile,Southeast,1,7,No,No,0,0,0,0,3.13,73.7,linear
ATT-00071,99a3dce922f942,U351189,2025-10-04 07:59:40,organic_search,bing,organic,(none),hero_banner,,/blog/best-ergonomic-chairs-2026,ErgoPro 500,desktop,West,1,1,No,No,0,0,0,0,4.05,60.5,first_click
ATT-00072,7588b1164b594c,U513343,2025-11-07 02:50:20,email,klaviyo,email,launch_announcement,text_ad,office chair,/products/ergo-pro-900,ErgoPro 200,mobile,Midwest,1,3,Yes,No,0,0.58,0,0,1.51,43.7,last_click
ATT-00073,d478905d41fe4e,U349728,2025-10-16 06:55:02,paid_search,bing_ads,cpc,ergo_chair_generic,story_ad,,/compare,ErgoPro 900,mobile,West,1,8,No,No,0,3.37,0,0.84,3.36,60.8,last_click
ATT-00074,f4154f5f633948,U818500,2025-12-03 14:30:27,social,tiktok,social,product_demo,reel,ergonomic chair,/blog/how-to-set-up-your-home-office,ErgoPro 200,tablet,West,1,7,No,No,0,0.41,0,0,5.19,45.5,linear
ATT-00075,38e0c34d467040,U892519,2025-11-18 15:39:47,referral,wirecutter.com,referral,(none),hero_banner,office chair,/products/ergo-pro-200,ErgoPro 200,desktop,Southeast,1,4,Yes,No,0,0,0,0,1.23,46.0,time_decay
ATT-00076,256eff6bf01d4f,U309250,2025-11-08 01:43:01,organic_search,bing,organic,(none),html_email,best chair,/products,ErgoPro 200,mobile,Southwest,1,3,No,No,0,0,0,0,2.04,76.4,last_click
ATT-00077,8fd70aa6a7fc44,U714220,2025-11-26 20:54:55,social,instagram,social,launch_reel,text_ad,,/blog/how-to-set-up-your-home-office,ErgoPro 500,desktop,Southeast,1,6,Yes,No,0,0.35,0,0,3.44,53.1,linear
ATT-00078,3e735677571848,U126661,2025-12-03 10:19:31,organic_search,bing,organic,(none),reel,ergonomic chair,/compare,ErgoPro 200,desktop,Southwest,1,7,No,No,0,0,0,0,2.38,43.4,linear
ATT-00079,32423dc8afb44e,U992733,2025-11-25 02:48:22,organic_search,bing,organic,(none),reel,best chair,/blog,ErgoPro 900,desktop,Midwest,1,6,Yes,No,0,0,0,0,2.53,61.6,linear
ATT-00080,1e43fa2bc2a444,U256333,2026-01-22 06:35:58,paid_search,google_ads,cpc,ergo_chair_brand,story_ad,office chair,/products/ergo-pro-900,ErgoPro 900,desktop,Southwest,1,1,No,No,0,3.4,0,3.4,4.41,84.5,first_click
ATT-00081,2425a7e2419747,U944761,2026-01-24 11:46:52,social,tiktok,social,ugc_repost,,best chair,/products,ErgoPro 500,desktop,West,1,6,No,No,0,0.64,0,0,2.18,22.8,linear
ATT-00082,a825389538d94c,U725118,2026-02-08 20:02:45,paid_search,bing_ads,cpc,ergo_chair_brand,story_ad,ergonomic chair,/blog,ErgoPro 900,desktop,Midwest,1,8,Yes,No,0,8.36,0,1.67,2.49,64.8,time_decay
ATT-00083,fa9e08f08f484c,U904604,2025-10-16 23:29:34,direct,(direct),(none),(none),html_email,ergonomic chair,/about,ErgoPro 900,tablet,Northeast,1,2,Yes,Yes,1998,0,0,0,4.58,68.3,last_click
ATT-00084,b8d706ffbaa14a,U138349,2026-02-28 18:38:54,paid_search,bing_ads,cpc,competitor_conquest,hero_banner,,/about,ErgoPro 500,mobile,Southeast,1,8,No,No,0,6.53,0,6.53,2.26,79.3,data_driven
ATT-00085,0ebdde1481444c,U558817,2026-02-07 22:00:51,direct,(direct),(none),(none),story_ad,,/products/ergo-pro-500,ErgoPro 500,desktop,Southeast,1,6,Yes,No,0,0,0,0,2.87,36.8,time_decay
ATT-00086,cb84f71df84e4a,U614968,2025-11-18 19:30:38,organic_search,bing,organic,(none),html_email,,/blog,ErgoPro 200,desktop,Southwest,1,2,No,No,0,0,0,0,3.76,56.0,first_click
ATT-00087,95911fcad1e645,U125417,2026-01-09 18:20:52,email,mailchimp,email,weekly_newsletter,reel,ergo chair,/products/ergo-pro-500,ErgoPro 500,mobile,West,1,6,No,No,0,1.08,0,0,5.33,47.5,last_click
ATT-00088,5695f96409e74d,U983728,2026-01-01 02:36:29,paid_search,google_ads,cpc,competitor_conquest,text_ad,,/products/ergo-pro-500,ErgoPro 500,desktop,Northeast,1,6,Yes,No,0,2.85,0,1.43,1.12,47.1,time_decay
ATT-00089,45af42cf802246,U586709,2026-01-20 18:16:22,paid_search,google_ads,cpc,competitor_conquest,story_ad,ergo chair,/blog/best-ergonomic-chairs-2026,ErgoPro 200,mobile,Midwest,1,8,No,No,0,7.63,0,3.81,6.35,64.7,data_driven
ATT-00090,35c54048fc294f,U162468,2025-11-08 01:09:23,email,klaviyo,email,weekly_newsletter,story_ad,ergo chair,/compare,ErgoPro 900,desktop,Southwest,1,2,No,No,0,1.62,0,0,4.02,32.9,last_click
ATT-00091,1f409146a5b244,U802723,2025-12-06 14:17:25,organic_search,google,organic,(none),html_email,office chair,/blog,ErgoPro 200,mobile,Southwest,1,1,Yes,No,0,0,0,0,5.95,47.5,first_click
ATT-00092,d3b740919a6c4b,U224980,2025-10-20 13:26:38,organic_search,google,organic,(none),,,/about,ErgoPro 900,desktop,Southwest,1,8,Yes,No,0,0,0,0,2.74,23.6,linear
ATT-00093,12f35263986545,U268463,2026-03-09 00:46:54,referral,rtings.com,referral,(none),text_ad,lumbar support chair,/blog,ErgoPro 200,tablet,Northeast,1,3,No,No,0,0,0,0,2.02,37.1,last_click
ATT-00094,b4f13277e97441,U100565,2026-02-09 20:00:00,paid_search,bing_ads,cpc,ergo_chair_brand,reel,ergonomic chair,/about,ErgoPro 900,tablet,Northeast,1,1,No,No,0,4.69,0,4.69,6.09,71.8,last_click
ATT-00095,db49c892b1ca46,U795098,2026-03-13 14:03:45,email,mailchimp,email,vip_early_access,plain_text_email,,/blog,ErgoPro 500,tablet,Southeast,1,1,No,No,0,0.64,0,0,3.36,44.7,first_click
ATT-00096,a3bd5d782fdc4f,U884366,2025-10-06 03:51:52,organic_search,google,organic,(none),,lumbar support chair,/products,ErgoPro 200,desktop,Southeast,1,3,No,No,0,0,0,0,6.45,12.5,data_driven
ATT-00097,b8fc45c5edc14b,U802766,2026-02-03 10:46:27,email,mailchimp,email,vip_early_access,story_ad,,/products/ergo-pro-200,ErgoPro 200,desktop,Northeast,1,6,No,No,0,1.26,0,0,4.63,51.7,first_click
ATT-00098,d96bed315f1540,U683500,2026-03-28 21:05:07,paid_search,bing_ads,cpc,ergo_chair_brand,,lumbar support chair,/blog/how-to-set-up-your-home-office,ErgoPro 200,desktop,Southeast,1,3,No,No,0,0.51,0,0.1,2.78,12.9,linear
ATT-00099,3823707b24ce49,U373403,2026-03-29 19:41:52,direct,(direct),(none),(none),reel,office chair,/blog/how-to-set-up-your-home-office,ErgoPro 500,desktop,Southeast,1,3,Yes,No,0,0,0,0,4.08,33.5,last_click
ATT-00100,d4d2f1989cf44a,U316849,2026-01-09 16:47:56,organic_search,google,organic,(none),,ergo chair,/products/ergo-pro-900,ErgoPro 200,desktop,West,1,6,No,No,0,0,0,0,6.48,26.6,linear
ATT-00101,21bd174a604f43,U188349,2025-10-10 03:06:53,referral,rtings.com,referral,(none),carousel_ad,lumbar support chair,/compare,ErgoPro 500,desktop,West,1,8,No,No,0,0,0,0,3.31,54.3,time_decay
ATT-00102,4618ddc8bb5345,U357290,2026-02-01 23:42:34,direct,(direct),(none),(none),,ergo chair,/blog/how-to-set-up-your-home-office,ErgoPro 200,desktop,Southeast,1,5,No,No,0,0,0,0,4.28,42.5,time_decay
ATT-00103,69d6a66be31b4a,U608865,2026-03-08 08:43:10,organic_search,google,organic,(none),story_ad,,/products/ergo-pro-500,ErgoPro 500,mobile,Southwest,1,6,No,No,0,0,0,0,6.08,35.0,linear
ATT-00104,2b03668dd8de43,U326231,2025-12-06 19:35:45,organic_search,google,organic,(none),plain_text_email,,/compare,ErgoPro 500,tablet,Southwest,1,1,No,No,0,0,0,0,5.52,64.7,linear
ATT-00105,f776c9e3f32040,U817408,2025-11-18 18:14:33,social,facebook,social,ugc_repost,html_email,,/blog/best-ergonomic-chairs-2026,ErgoPro 500,mobile,Midwest,1,4,No,No,0,1.95,0,0,2.82,28.8,linear
ATT-00106,654a09c9523c47,U380409,2026-01-29 14:05:55,paid_search,google_ads,cpc,competitor_conquest,reel,,/products/ergo-pro-200,ErgoPro 900,desktop,Midwest,1,5,No,No,0,6.02,0,1.2,5.43,64.2,last_click
ATT-00107,5dcc60997fd949,U961893,2026-02-12 02:40:15,social,tiktok,social,ugc_repost,carousel_ad,lumbar support chair,/products/ergo-pro-900,ErgoPro 900,desktop,Southeast,1,2,No,No,0,0.66,0,0,6.46,10.6,first_click
ATT-00108,6a4a0bcf5ac74e,U256155,2026-02-26 10:32:38,organic_search,google,organic,(none),text_ad,,/products/ergo-pro-200,ErgoPro 900,desktop,Southwest,1,8,No,No,0,0,0,0,4.05,73.7,linear
ATT-00109,3043e1eb0b8a46,U726707,2025-11-23 14:33:42,organic_search,bing,organic,(none),,,/blog,ErgoPro 200,mobile,Midwest,1,2,No,No,0,0,0,0,1.29,55.0,first_click
ATT-00110,e3c0c62fa4d94b,U970798,2026-03-02 22:59:10,organic_search,google,organic,(none),reel,,/blog/best-ergonomic-chairs-2026,ErgoPro 200,mobile,Southeast,1,6,No,No,0,0,0,0,3.55,14.2,data_driven
ATT-00111,f22f262de7064d,U321471,2025-11-14 13:08:20,organic_search,google,organic,(none),html_email,office chair,/blog/best-ergonomic-chairs-2026,ErgoPro 500,desktop,Southwest,1,7,No,No,0,0,0,0,4.32,83.9,linear
ATT-00112,3e2b1b5b190f4c,U719010,2026-03-18 16:19:32,organic_search,google,organic,(none),text_ad,,/about,ErgoPro 500,desktop,Midwest,1,8,No,No,0,0,0,0,2.4,28.5,first_click
ATT-00113,e6c01a9c09894c,U902987,2025-11-17 11:11:02,paid_search,google_ads,cpc,competitor_conquest,plain_text_email,lumbar support chair,/products,ErgoPro 200,desktop,Northeast,1,5,Yes,No,0,8.14,0,2.71,6.06,68.3,linear
ATT-00114,1565da02afc344,U468869,2025-10-27 02:15:51,referral,rtings.com,referral,(none),carousel_ad,best chair,/blog/best-ergonomic-chairs-2026,ErgoPro 900,tablet,Southeast,1,4,Yes,No,0,0,0,0,1.13,52.6,first_click
ATT-00115,cae73acae9f848,U380202,2026-02-05 08:49:32,organic_search,bing,organic,(none),carousel_ad,,/products,ErgoPro 500,tablet,Southwest,1,3,No,Yes,1947,0,0,0,5.96,39.5,last_click
ATT-00116,d1d76e72bb3e48,U231372,2025-10-23 12:52:07,organic_search,google,organic,(none),story_ad,office chair,/blog,ErgoPro 200,mobile,Southeast,1,7,Yes,No,0,0,0,0,1.38,42.4,last_click
ATT-00117,6fc2746fe4e743,U733878,2025-10-17 15:32:42,direct,(direct),(none),(none),,,/blog/best-ergonomic-chairs-2026,ErgoPro 200,tablet,Midwest,1,5,No,No,0,0,0,0,3.33,40.4,first_click
